time,Episodes,Villages taken
1653870893.463622,4,3.0
1653870914.744411,18,4.0
1653870947.4478767,40,3.0
1653870958.3294344,47,4.0
1653870980.6140459,62,4.0
1653870982.4417052,63,1.0
1653870994.1635973,71,2.0
1653871002.8959827,77,2.0
1653871010.6561463,82,3.0
1653871021.176466,89,2.0
1653871041.7251048,103,5.0
1653871048.2983186,107,3.0
1653871068.7544274,121,3.0
1653871079.3190017,128,5.0
1653871082.3442583,130,2.0
1653871122.7483637,157,1.0
1653871127.5328486,160,5.0
1653871130.4511518,162,3.0
1653871133.4372509,164,4.0
1653871145.1066575,172,4.0
1653871174.0989647,191,4.0
1653871191.5689116,203,4.0
1653871194.5438418,205,3.0
1653871230.4535975,229,3.0
1653871253.1808963,244,4.0
1653871255.0558484,245,4.0
1653871276.1755238,259,2.0
1653871293.712672,271,2.0
1653871298.4649444,274,3.0
1653871310.2200482,282,3.0
1653871314.9674108,285,2.0
1653871329.6109896,295,2.0
1653871361.4640896,316,1.0
1653871366.2075746,319,2.0
1653871370.2200902,322,3.0
1653871406.3076713,346,3.0
1653871424.6755855,358,5.0
1653871433.4666977,364,2.0
1653871436.3597133,366,2.0
1653871454.857493,378,4.0
1653871466.6738207,386,4.0
1653871472.556462,390,3.0
1653871490.914397,402,5.0
1653871510.3660638,415,3.0
1653871521.0291328,422,4.0
1653871541.64332,436,4.0
1653871543.470585,437,5.0
1653871546.4490733,439,5.0
1653871557.257559,446,4.0
1653871580.0329006,461,4.0
1653871585.9595444,465,5.0
1653871601.7609365,475,4.0
1653871609.5145516,480,4.0
1653871610.6279829,481,4.0
1653871619.6364474,487,4.0
1653871655.3937423,510,5.0
1653871658.3588705,512,3.0
1653871660.2607243,513,3.0
1653871666.3234093,517,5.0
1653871691.024284,533,3.0
1653871698.1694725,538,5.0
1653871701.1483684,540,3.0
1653871720.0420568,552,4.0
1653871726.130713,556,4.0
1653871735.0758462,562,4.0
1653871778.8344033,590,2.0
1653871784.8219724,594,5.0
1653871787.8263128,596,3.0
1653871837.268179,628,3.0
1653871839.1276832,629,4.0
1653871851.3361483,637,4.0
1653871861.1417542,643,4.0
1653871862.3177469,644,3.0
1653871884.54001,658,3.0
1653871898.676378,667,3.0
1653871910.962135,675,4.0
1653871941.452767,694,4.0
1653871983.441866,721,4.0
1653871990.2964728,725,4.0
1653872020.092188,744,3.0
1653872052.0259216,764,4.0
1653872069.4982848,775,2.0
1653872070.6669533,776,5.0
1653872080.9352384,782,2.0
1653872090.3493745,788,2.0
1653872116.6232827,804,4.0
1653872117.8122725,805,2.0
1653872120.9489174,807,4.0
1653872140.4566634,819,5.0
1653872161.169489,832,5.0
1653872201.5763814,857,5.0
1653872215.9843757,866,5.0
1653872223.5410116,871,4.0
1653872248.6000452,886,4.0
1653872266.234445,897,5.0
1653872272.5271423,901,3.0
1653872319.5662696,930,3.0
1653872338.5431948,942,3.0
1653872350.077329,949,3.0
1653872431.308604,999,5.0
1653872436.4524174,1002,2.0
1653872439.68523,1004,4.0
1653872457.6816604,1015,4.0
1653872469.218879,1022,5.0
1653872475.5515811,1026,2.0
1653872478.73868,1028,2.0
1653872493.4860084,1037,2.0
1653872525.2753282,1056,3.0
1653872547.6666157,1070,4.0
1653872549.6773393,1071,3.0
1653872552.9571388,1073,4.0
1653872559.3980956,1077,3.0
1653872574.283999,1086,4.0
1653872594.4852078,1098,3.0
1653872600.8956652,1102,2.0
1653872604.1668983,1104,2.0
1653872612.7736988,1109,2.0
1653872616.0219553,1111,2.0
1653872632.1698022,1121,3.0
1653872638.609605,1125,6.0
1653872650.6174507,1132,4.0
1653872653.8862824,1134,4.0
1653872674.3326173,1146,4.0
1653872682.7932713,1151,4.0
1653872683.9717093,1152,5.0
1653872704.387274,1164,3.0
1653872720.6023707,1174,4.0
1653872723.8683887,1176,3.0
1653872737.6863813,1184,4.0
1653872751.959975,1193,4.0
1653872753.9882483,1194,5.0
1653872793.8146167,1218,3.0
1653872805.5321143,1225,4.0
1653872840.219573,1246,2.0
1653872848.7632592,1251,2.0
1653872850.8435707,1252,3.0
1653872854.1381044,1254,4.0
1653872858.5878146,1257,4.0
1653872865.8979225,1261,3.0
1653872875.6410754,1267,2.0
1653872882.4278216,1271,3.0
1653872890.9716039,1276,3.0
1653872927.316136,1298,3.0
1653872940.209826,1306,4.0
1653872967.1780894,1322,4.0
1653872972.4886928,1325,4.0
1653873005.844102,1345,3.0
1653873030.6994624,1360,3.0
1653873037.2518456,1364,5.0
1653873055.6107683,1375,4.0
1653873057.6717505,1376,4.0
1653873125.2644947,1417,5.0
1653873159.600075,1438,3.0
1653873161.689219,1439,4.0
1653873191.6621704,1457,4.0
1653873192.8703287,1458,4.0
1653873219.4533052,1474,4.0
1653873222.6532032,1476,4.0
1653873246.114965,1490,4.0
1653873252.5816033,1494,4.0
1653873265.6106732,1502,4.0
1653873279.2816913,1510,4.0
1653873283.7193542,1513,4.0
1653873289.0003502,1516,4.0
1653873309.1211932,1528,5.0
1653873342.0570204,1548,5.0
1653873346.559423,1551,5.0
1653873369.87834,1565,4.0
1653873375.0346017,1568,5.0
1653873382.6575232,1573,5.0
1653873387.9744074,1576,4.0
1653873402.8152156,1585,4.0
1653873420.9638996,1596,5.0
1653873429.597686,1601,4.0
1653873432.8686295,1603,6.0
1653873472.5161486,1627,4.0
1653873485.4430132,1635,6.0
1653873488.6523294,1637,4.0
1653873543.580208,1670,4.0
1653873558.6003225,1679,6.0
1653873569.0859494,1685,5.0
1653873583.2987845,1694,5.0
1653873597.2075067,1702,4.0
1653873600.484757,1704,4.0
1653873605.875191,1707,4.0
1653873612.3524735,1711,3.0
1653873624.096714,1718,4.0
1653873668.7669528,1745,3.0
1653873719.745466,1775,3.0
1653873723.0209594,1777,3.0
1653873742.6939547,1789,4.0
1653873747.9646933,1792,3.0
1653873761.084586,1800,4.0
1653873841.1970105,1847,2.0
1653873847.829073,1851,4.0
1653873862.9940164,1860,3.0
1653873871.5976958,1865,4.0
1653873874.8976715,1867,4.0
1653873910.8615918,1888,3.0
1653873929.5484018,1899,3.0
1653873934.094459,1902,3.0
1653873944.02134,1908,4.0
1653873946.10316,1909,3.0
1653873971.329533,1924,4.0
1653873991.925355,1936,3.0
1653873998.5121398,1940,4.0
1653874007.1138537,1945,3.0
1653874010.395772,1947,3.0
1653874032.6601179,1960,1.0
1653874033.9018252,1961,4.0
1653874042.4697726,1966,3.0
1653874060.98309,1977,4.0
1653874064.280776,1979,4.0
1653874078.1789405,1987,4.0
1653874218.0764747,2070,3.0
1653874233.4225216,2079,3.0
1653874249.94422,2089,5.0
1653874268.5324657,2100,3.0
1653874292.3912013,2114,3.0
1653874294.425039,2115,5.0
1653874301.088451,2119,5.0
1653874302.2908232,2120,4.0
1653874314.243993,2127,6.0
1653874334.7121496,2139,4.0
1653874384.8280551,2169,5.0
1653874427.3779824,2194,4.0
1653874452.5631013,2209,5.0
1653874462.4169111,2215,5.0
1653874503.559041,2239,5.0
1653874511.2699618,2244,4.0
1653874573.2173276,2281,4.0
1653874632.788014,2316,4.0
1653874637.3057938,2319,3.0
1653874676.2837386,2342,4.0
1653874704.671983,2359,4.0
1653874755.6322746,2389,4.0
1653874762.2027771,2393,4.0
1653874763.473252,2394,4.0
1653874834.5565426,2436,3.0
1653874843.265618,2441,5.0
1653874865.0436826,2454,4.0
1653874878.1954658,2462,4.0
1653874883.626133,2465,5.0
1653874917.3654327,2485,5.0
1653874930.5329082,2493,4.0
1653874939.0754478,2498,4.0
1653874947.7091043,2503,4.0
1653874971.6476982,2517,3.0
1653874974.86548,2519,4.0
1653874990.2434072,2528,5.0
1653874993.5619404,2530,3.0
1653875053.6070204,2566,4.0
1653875072.112522,2577,5.0
1653875074.1739008,2578,5.0
1653875090.7676923,2588,4.0
1653875109.3127754,2599,3.0
1653875121.331841,2606,4.0
1653875143.1329265,2619,4.0
1653875157.1794713,2627,4.0
1653875158.4188485,2628,4.0
1653875170.4364648,2635,4.0
1653875177.1026053,2639,3.0
1653875183.7574325,2643,5.0
1653875216.531756,2662,4.0
1653875229.9147708,2670,3.0
1653875232.0003457,2671,4.0
1653875236.572861,2674,4.0
1653875248.6665926,2681,4.0
1653875254.0713577,2684,3.0
1653875257.4084165,2686,4.0
1653875262.792654,2689,4.0
1653875269.4161925,2693,3.0
1653875284.9639661,2702,3.0
1653875295.1365888,2708,5.0
1653875303.852264,2713,5.0
1653875310.3964477,2717,3.0
1653875330.4817371,2729,3.0
1653875332.6081026,2730,3.0
1653875339.2429125,2734,6.0
1653875348.0045934,2739,5.0
1653875349.2349114,2740,4.0
1653875372.0139797,2753,4.0
1653875373.2348094,2754,6.0
1653875375.3920028,2755,4.0
1653875383.2780557,2760,5.0
1653875391.8800545,2765,4.0
1653875397.2639456,2768,4.0
1653875413.842251,2778,4.0
1653875425.8906517,2785,4.0
1653875472.2131052,2812,6.0
1653875509.4874926,2834,4.0
1653875526.1762147,2844,5.0
1653875555.6814818,2861,4.0
1653875556.9261963,2862,4.0
1653875589.4547043,2881,5.0
1653875652.2783017,2918,4.0
1653875656.8793252,2921,4.0
1653875679.8271153,2934,3.0
1653875709.7833354,2952,4.0
1653875715.1423018,2955,4.0
1653875727.2369797,2962,4.0
1653875732.5679498,2965,3.0
1653875745.8662596,2973,3.0
1653875767.980058,2986,3.0
1653875784.745489,2996,4.0
1653875824.324679,3019,4.0
1653875849.8211021,3034,4.0
