Wall time,Step,Value
1654392115.2744646,495,-72.0
1654392137.5849695,1485,-30.0
1654392139.7677593,1584,-12.0
1654392146.4183717,1881,-22.0
1654392148.631351,1980,-90.0
1654392164.3070319,2673,10.0
1654392166.565811,2772,-58.0
1654392195.4921157,4059,34.0
1654392210.9263694,4752,-30.0
1654392213.2384777,4851,-76.0
1654392215.4963274,4950,-10.0
1654392244.5841093,6237,-88.0
1654392246.772463,6336,44.0
1654392253.449269,6633,-78.0
1654392255.6931655,6732,14.0
1654392262.3030174,7029,-24.0
1654392264.524855,7128,-44.0
1654392277.840341,7722,-98.0
1654392288.923748,8217,-94.0
1654392304.539957,8910,-120.0
1654392325.0314884,9900,14.0
1654392333.8551145,10296,-58.0
1654392342.7965755,10692,-84.0
1654392376.087723,12078,-40.0
1654392385.0856028,12474,-50.0
1654392387.3232481,12573,-76.0
1654392393.4590619,12771,-126.0
1654392398.5638492,12969,-142.0
1654392412.1103451,13563,94.0
1654392429.999883,14355,14.0
1654392434.4468548,14553,-50.0
1654392436.6510806,14652,-64.0
1654392443.290441,14949,-118.0
1654392459.476773,15642,-28.0
1654392466.171254,15939,-18.0
1654392470.6453595,16137,-10.0
1654392475.1208112,16335,-192.0
1654392493.0643032,17127,-22.0
1654392504.2312367,17622,-28.0
1654392519.7841105,18315,-22.0
1654392522.3421595,18414,26.0
1654392536.6838222,19008,-100.0
1654392538.9639728,19107,-62.0
1654392561.7945204,20196,20.0
1654392566.266805,20394,-34.0
1654392585.7278135,21186,-126.0
1654392590.1857522,21384,48.0
1654392610.2929857,22275,-120.0
1654392621.5342155,22770,-46.0
1654392655.3581681,24255,-68.0
1654392657.5241249,24354,-68.0
1654392686.6491902,25641,36.0
1654392688.8868444,25740,28.0
1654392717.3728054,26928,2.0
1654392724.0828986,27225,2.0
1654392742.044255,28017,64.0
1654392748.7021258,28314,-76.0
1654392756.8207169,28611,-54.0
1654392761.2106593,28809,-40.0
1654392772.4375057,29304,30.0
1654392776.8553076,29502,82.0
1654392779.0912418,29601,-130.0
1654392799.5717707,30591,-132.0
1654392808.5067444,30987,38.0
1654392817.4501784,31383,-100.0
1654392821.890959,31581,-82.0
1654392824.11785,31680,-94.0
1654392830.7269685,31977,-46.0
1654392882.0409853,34254,32.0
1654392884.7649775,34353,-70.0
1654392912.3623354,35541,-68.0
1654392925.5440378,36135,-2.0
1654392927.7508426,36234,-98.0
1654392929.9617043,36333,0.0
1654392957.9908347,37521,32.0
1654392975.7844205,38313,-76.0
1654392984.6709354,38709,4.0
1654392989.0965424,38907,90.0
1654393000.134513,39402,-14.0
1654393009.4435747,39897,-42.0
1654393013.964004,40095,82.0
1654393038.579882,41184,-74.0
1654393052.0832155,41778,-154.0
1654393054.344778,41877,-84.0
1654393089.1859443,43263,58.0
1654393091.4658337,43362,-46.0
1654393095.879696,43560,24.0
1654393111.4731846,44253,-50.0
1654393126.1194682,44847,-24.0
1654393135.276002,45243,-70.0
1654393146.4763863,45738,-28.0
1654393155.3543978,46134,-82.0
1654393162.009163,46431,36.0
1654393166.473974,46629,74.0
1654393175.443221,47025,36.0
1654393177.670367,47124,24.0
1654393188.8014288,47619,18.0
1654393191.0008352,47718,108.0
1654393204.3742452,48312,-68.0
1654393255.176681,50589,-8.0
1654393259.841072,50787,26.0
1654393262.109126,50886,-10.0
1654393264.3508632,50985,-94.0
1654393271.1813364,51282,-78.0
1654393275.658301,51480,-46.0
1654393308.5229294,52866,-60.0
1654393310.7147207,52965,-58.0
1654393315.1999443,53163,22.0
1654393319.6903155,53361,-68.0
1654393324.1599674,53559,-2.0
1654393333.1036239,53955,-76.0
1654393337.523447,54153,34.0
1654393346.4013202,54549,60.0
1654393350.8517835,54747,46.0
1654393359.8634725,55143,-32.0
1654393373.3198888,55737,42.0
1654393377.767248,55935,-48.0
1654393386.711091,56331,-74.0
1654393423.1128697,57915,-34.0
1654393425.9756432,58014,12.0
1654393432.6653225,58311,70.0
1654393437.3250368,58509,50.0
1654393446.2601445,58905,24.0
1654393450.818627,59103,40.0
1654393488.5542598,60786,48.0
1654393490.8440862,60885,-98.0
1654393508.831783,61677,-22.0
1654393511.0534062,61776,-26.0
1654393522.2710242,62271,-50.0
1654393524.5261345,62370,-22.0
1654393533.4444592,62766,68.0
1654393542.4745286,63162,22.0
1654393555.8922572,63756,-46.0
1654393558.126101,63855,94.0
1654393569.3881762,64350,-56.0
1654393573.8880014,64548,-4.0
1654393589.6954832,65241,-2.0
1654393594.151435,65439,-38.0
1654393610.966719,66132,-10.0
1654393629.2165623,66924,-70.0
1654393631.4379206,67023,-12.0
1654393649.3445816,67815,-68.0
1654393668.6158962,68607,-64.0
1654393673.260283,68805,6.0
1654393708.1177535,70389,-38.0
1654393732.8817418,71478,-12.0
1654393737.3322055,71676,-24.0
1654393741.7844048,71874,-20.0
1654393744.029332,71973,14.0
