time,Episodes,Villages taken
1653747750.496195,4,1.0
1653747774.4454854,18,4.0
1653747787.6099205,26,3.0
1653747789.653145,27,2.0
1653747811.5831058,40,2.0
1653747825.3858771,47,5.0
1653747826.6064231,48,4.0
1653747851.7069185,62,4.0
1653747853.9240146,63,3.0
1653747860.3909779,67,3.0
1653747867.108826,71,3.0
1653747877.4577932,77,5.0
1653747886.185374,82,4.0
1653747899.3693476,89,4.0
1653747917.6032841,99,3.0
1653747924.5572379,103,5.0
1653747932.3826303,107,5.0
1653747957.058126,121,5.0
1653747964.10163,125,3.0
1653747966.2477865,126,4.0
1653747969.5029962,128,6.0
1653747972.8127837,130,5.0
1653747982.9077835,136,4.0
1653747997.2712414,144,4.0
1653748001.789874,147,6.0
1653748019.7267694,157,6.0
1653748025.3547058,160,6.0
1653748028.8838642,162,6.0
1653748032.2241063,164,4.0
1653748046.3452904,172,5.0
1653748055.599519,177,5.0
1653748079.719887,191,7.0
1653748099.948166,203,6.0
1653748103.47795,205,5.0
1653748118.0207665,213,6.0
1653748145.3811283,229,6.0
1653748172.6103,244,4.0
1653748174.6956468,245,4.0
1653748196.9322045,258,5.0
1653748199.0079598,259,4.0
1653748219.1634638,271,4.0
1653748224.672691,274,5.0
1653748238.0412464,282,4.0
1653748243.4923491,285,6.0
1653748252.2184067,290,4.0
1653748260.0833945,295,6.0
1653748282.6814308,308,4.0
1653748297.401557,316,4.0
1653748300.928487,318,4.0
1653748303.0399442,319,4.0
1653748307.499285,322,6.0
1653748348.1655076,345,6.0
1653748349.3863428,346,4.0
1653748370.584051,358,5.0
1653748380.805541,364,4.0
1653748382.9415069,365,3.0
1653748384.2214837,366,5.0
1653748405.9812548,378,5.0
1653748419.862455,386,4.0
1653748427.2631798,390,4.0
1653748431.0543692,392,5.0
1653748441.1225057,397,3.0
1653748450.8592424,402,3.0
1653748454.3345041,404,5.0
1653748473.5344906,415,4.0
1653748483.7372131,421,6.0
1653748485.87416,422,5.0
1653748509.4473112,436,5.0
1653748511.5075421,437,6.0
1653748514.8321233,439,5.0
1653748526.9449465,446,5.0
1653748552.888291,461,5.0
1653748559.9385111,465,4.0
1653748565.6008604,468,4.0
1653748568.882762,470,4.0
1653748575.8693666,474,5.0
1653748577.9389572,475,4.0
1653748587.2773402,480,3.0
1653748588.510609,481,4.0
1653748598.5118563,487,6.0
1653748639.152875,510,4.0
1653748642.56696,512,4.0
1653748645.1501093,513,5.0
1653748646.636724,514,6.0
1653748652.3563473,517,5.0
1653748655.7892342,519,5.0
1653748680.7433183,533,4.0
1653748682.0129554,534,6.0
1653748685.7054918,536,3.0
1653748689.4989753,538,3.0
1653748693.0150802,540,5.0
1653748701.0476885,544,6.0
1653748704.68603,546,4.0
1653748715.4332387,552,5.0
1653748722.474137,556,6.0
1653748732.7289667,562,5.0
1653748736.0981495,564,5.0
1653748743.7692795,568,4.0
1653748770.852134,584,5.0
1653748781.8573608,590,6.0
1653748788.7322783,594,3.0
1653748792.301658,596,4.0
1653748822.500317,613,6.0
1653748824.6315017,614,7.0
1653748838.7724173,622,3.0
1653748841.0352926,623,6.0
1653748849.2191734,628,5.0
1653748851.311406,629,5.0
1653748865.1991477,637,5.0
