Wall time,Step,Value
1654392115.274255,495,4.0
1654392137.584807,1485,4.0
1654392139.7675784,1584,6.0
1654392146.4180868,1881,5.0
1654392148.631192,1980,2.0
1654392164.3068674,2673,5.0
1654392166.5656312,2772,5.0
1654392195.491961,4059,5.0
1654392210.9259694,4752,4.0
1654392213.2381544,4851,4.0
1654392215.4960246,4950,4.0
1654392244.5838962,6237,3.0
1654392246.772274,6336,6.0
1654392253.4490433,6633,3.0
1654392255.6929371,6732,4.0
1654392262.3027778,7029,5.0
1654392264.5245829,7128,4.0
1654392277.84018,7722,3.0
1654392288.9235618,8217,3.0
1654392304.5397782,8910,2.0
1654392325.0313146,9900,5.0
1654392333.8549619,10296,5.0
1654392342.7963235,10692,3.0
1654392376.087443,12078,4.0
1654392385.0853817,12474,3.0
1654392387.3228211,12573,4.0
1654392393.458908,12771,3.0
1654392398.563568,12969,2.0
1654392412.1101673,13563,6.0
1654392429.9997303,14355,6.0
1654392434.4466572,14553,4.0
1654392436.6509023,14652,4.0
1654392443.290157,14949,3.0
1654392459.4766142,15642,5.0
1654392466.1710305,15939,5.0
1654392470.6451046,16137,4.0
1654392475.1206605,16335,0.0
1654392493.064145,17127,5.0
1654392504.2309177,17622,5.0
1654392519.7839332,18315,4.0
1654392522.3419783,18414,4.0
1654392536.6836138,19008,3.0
1654392538.9637928,19107,4.0
1654392561.794368,20196,4.0
1654392566.2666523,20394,5.0
1654392585.7276,21186,2.0
1654392590.1855967,21384,6.0
1654392610.2927413,22275,3.0
1654392621.5340517,22770,3.0
1654392655.35794,24255,4.0
1654392657.5238352,24354,3.0
1654392686.64904,25641,4.0
1654392688.8865435,25740,5.0
1654392717.3726184,26928,4.0
1654392724.0827,27225,4.0
1654392742.044075,28017,5.0
1654392748.7019215,28314,3.0
1654392756.820486,28611,4.0
1654392761.210501,28809,3.0
1654392772.4373114,29304,5.0
1654392776.8550947,29502,6.0
1654392779.0910738,29601,1.0
1654392799.5716197,30591,3.0
1654392808.5065892,30987,6.0
1654392817.45,31383,3.0
1654392821.8906252,31581,3.0
1654392824.1176295,31680,3.0
1654392830.726813,31977,3.0
1654392882.0407312,34254,5.0
1654392884.7646806,34353,3.0
1654392912.3621864,35541,4.0
1654392925.5438836,36135,5.0
1654392927.750633,36234,3.0
1654392929.9615092,36333,5.0
1654392957.9906125,37521,6.0
1654392975.7842448,38313,2.0
1654392984.67072,38709,4.0
1654392989.0963871,38907,5.0
1654393000.134361,39402,4.0
1654393009.4434023,39897,4.0
1654393013.9637816,40095,6.0
1654393038.5797303,41184,3.0
1654393052.0830598,41778,1.0
1654393054.3444896,41877,2.0
1654393089.1857915,43263,5.0
1654393091.4656582,43362,5.0
1654393095.879545,43560,4.0
1654393111.4730341,44253,3.0
1654393126.1192932,44847,4.0
1654393135.2757812,45243,2.0
1654393146.4760318,45738,4.0
1654393155.3542018,46134,3.0
1654393162.0090015,46431,6.0
1654393166.4737551,46629,6.0
1654393175.4430668,47025,4.0
1654393177.6701198,47124,5.0
1654393188.8012521,47619,5.0
1654393191.000674,47718,7.0
1654393204.3740394,48312,3.0
1654393255.1765046,50589,4.0
1654393259.840879,50787,5.0
1654393262.1089392,50886,3.0
1654393264.3506536,50985,3.0
1654393271.1811619,51282,5.0
1654393275.658096,51480,5.0
1654393308.5227332,52866,3.0
1654393310.7144349,52965,3.0
1654393315.1997392,53163,4.0
1654393319.6901107,53361,3.0
1654393324.1597655,53559,6.0
1654393333.1034417,53955,3.0
1654393337.523219,54153,5.0
1654393346.400973,54549,6.0
1654393350.8516145,54747,7.0
1654393359.8631477,55143,4.0
1654393373.3197148,55737,5.0
1654393377.7670703,55935,4.0
1654393386.710802,56331,4.0
1654393423.1125264,57915,4.0
1654393425.9753954,58014,5.0
1654393432.6651645,58311,7.0
1654393437.3248599,58509,6.0
1654393446.2599702,58905,5.0
1654393450.8184052,59103,6.0
1654393488.55409,60786,4.0
1654393490.8439229,60885,2.0
1654393508.8315735,61677,6.0
1654393511.0531027,61776,4.0
1654393522.2708457,62271,4.0
1654393524.525959,62370,5.0
1654393533.4442797,62766,6.0
1654393542.474254,63162,5.0
1654393555.8919752,63756,3.0
1654393558.1258926,63855,5.0
1654393569.3880217,64350,4.0
1654393573.8877606,64548,4.0
1654393589.6952367,65241,5.0
1654393594.1512332,65439,4.0
1654393610.9665687,66132,4.0
1654393629.2164066,66924,3.0
1654393631.437689,67023,4.0
1654393649.3443813,67815,2.0
1654393668.6156533,68607,3.0
1654393673.2600906,68805,4.0
1654393708.117599,70389,3.0
1654393732.8815904,71478,4.0
1654393737.3320534,71676,4.0
1654393741.7842045,71874,3.0
1654393744.0291483,71973,4.0
1654393748.4949698,72171,2.0
1654393750.7221878,72270,6.0
1654393755.225587,72468,4.0
1654393757.4467642,72567,3.0
1654393759.6879866,72666,6.0
1654393770.9287114,73161,6.0
1654393786.8421388,73755,4.0
1654393832.0923653,75735,4.0
1654393860.6201403,76824,5.0
1654393862.8211627,76923,4.0
1654393867.561377,77121,2.0
1654393872.4562635,77319,4.0
1654393877.0511897,77517,4.0
1654393890.9935775,78111,4.0
1654393928.277912,79695,4.0
1654393930.4479754,79794,3.0
1654393934.8976884,79992,3.0
1654393941.940033,80289,2.0
1654393961.9106178,81180,5.0
1654393990.7080867,82467,2.0
1654394007.9633996,83259,5.0
1654394014.3172474,83556,5.0
1654394044.2425542,84942,4.0
1654394054.9101362,85437,5.0
1654394063.437883,85833,6.0
1654394074.1783626,86328,4.0
1654394103.3606546,87615,6.0
1654394107.8581371,87813,4.0
1654394121.2816339,88407,4.0
1654394128.316752,88704,5.0
1654394132.9620776,88902,4.0
1654394140.075518,89298,5.0
1654394142.331261,89397,5.0
1654394156.7267218,89991,2.0
1654394211.0656354,92169,3.0
1654394215.4102077,92367,3.0
1654394237.198344,93357,7.0
1654394253.1272507,94050,4.0
1654394285.559978,95436,4.0
1654394323.009748,97020,5.0
1654394329.755787,97317,5.0
1654394351.686086,98307,6.0
1654394356.5307636,98505,4.0
1654394365.9929464,99000,6.0
1654394372.4955099,99297,3.0
1654394376.8349206,99495,5.0
1654394400.6351173,100584,3.0
1654394415.7959728,101277,6.0
1654394424.4148173,101673,3.0
1654394428.7786949,101871,4.0
1654394446.4758754,102663,2.0
1654394448.727552,102762,4.0
1654394493.0396798,104643,5.0
1654394502.414067,105039,4.0
1654394524.2129014,106029,5.0
1654394526.3579805,106128,5.0
1654394530.5807698,106326,5.0
1654394539.131722,106722,6.0
1654394558.615816,107613,7.0
1654394584.3404405,108801,6.0
1654394591.1728394,109197,7.0
1654394595.5093956,109395,4.0
1654394602.2503736,109692,4.0
1654394606.5742724,109890,4.0
1654394610.8564742,110088,4.0
1654394632.3098311,111078,5.0
1654394634.4673467,111177,6.0
1654394640.871122,111474,6.0
1654394643.0595229,111573,7.0
1654394649.5357578,111870,4.0
1654394655.9720876,112167,7.0
1654394660.2753,112365,6.0
1654394671.0235531,112860,4.0
1654394686.1237872,113553,5.0
1654394696.911598,114048,5.0
1654394699.093111,114147,6.0
1654394724.8656185,115335,6.0
1654394746.4592817,116325,5.0
1654394750.8022,116523,5.0
1654394752.9758763,116622,4.0
1654394768.0766535,117315,5.0
1654394778.9142737,117810,5.0
1654394787.617942,118206,6.0
1654394789.7380514,118305,5.0
1654394813.672291,119493,4.0
1654394830.8148963,120285,8.0
1654394839.4906287,120681,5.0
1654394850.1793556,121176,5.0
1654394854.5656989,121374,6.0
1654394863.1664183,121770,4.0
1654394895.4259903,123255,6.0
1654394899.9887092,123453,5.0
1654394910.783765,123948,5.0
1654394912.9184287,124047,6.0
1654394917.1949155,124245,5.0
1654394923.7308958,124542,5.0
1654394932.3392546,124938,6.0
1654394945.2209983,125532,6.0
1654394953.8178701,125928,5.0
1654394964.5649822,126423,5.0
1654394977.4896295,127017,6.0
1654394983.904667,127314,6.0
1654394994.6565554,127809,5.0
1654395000.997117,128106,6.0
1654395011.697611,128601,7.0
1654395018.5656817,128997,5.0
1654395027.1166854,129393,5.0
1654395046.3965309,130284,8.0
1654395061.3908906,130977,6.0
1654395067.8266358,131274,6.0
1654395069.9527378,131373,5.0
1654395089.2115123,132264,5.0
1654395112.7535007,133254,4.0
1654395131.9035995,134145,5.0
1654395144.7969432,134739,4.0
1654395153.4239354,135135,6.0
1654395177.0389566,136224,7.0
1654395179.1935637,136323,7.0
1654395187.6759148,136719,7.0
1654395200.8499444,137313,5.0
1654395209.5070095,137709,7.0
1654395215.8867598,138006,4.0
1654395265.586363,140382,5.0
1654395306.2129333,142263,5.0
1654395310.546647,142461,6.0
1654395312.689131,142560,5.0
1654395314.8358924,142659,6.0
1654395334.2219496,143550,4.0
1654395351.3804426,144342,5.0
1654395353.5339258,144441,6.0
1654395357.7856104,144639,5.0
1654395359.917505,144738,6.0
1654395387.6186316,146025,7.0
1654395392.0995607,146223,6.0
1654395415.5349252,147312,6.0
1654395421.9968164,147609,7.0
1654395430.6670773,148005,6.0
1654395439.845244,148401,5.0
1654395446.7358813,148797,6.0
1654395461.8363054,149490,6.0
1654395463.9973369,149589,6.0
1654395470.424645,149886,3.0
1654395476.933551,150183,5.0
1654395502.835267,151371,7.0
1654395515.7920737,151965,5.0
1654395522.6567833,152262,5.0
1654395524.8999047,152361,6.0
1654395546.5297728,153351,5.0
1654395553.0513337,153648,6.0
1654395576.487669,154737,6.0
1654395582.8990777,155034,6.0
1654395589.2959926,155331,5.0
1654395599.840459,155826,7.0
1654395606.2200003,156123,5.0
1654395625.376287,157014,6.0
1654395648.8388512,158103,5.0
1654395657.7187083,158598,6.0
1654395661.9289868,158796,6.0
1654395713.0581245,161172,6.0
1654395730.2455292,161964,6.0
1654395734.5268228,162162,8.0
1654395740.9761028,162459,5.0
1654395753.7988043,163053,7.0
1654395755.9280381,163152,8.0
1654395770.9778216,163845,6.0
1654395787.909026,164637,5.0
1654395796.3743827,165033,6.0
1654395804.8769703,165429,6.0
1654395813.329941,165825,6.0
1654395819.750016,166122,5.0
1654395824.1320803,166320,4.0
1654395836.8943908,166914,6.0
1654395856.2219737,167805,6.0
1654395871.563522,168597,7.0
1654395875.7911873,168795,6.0
1654395882.2603168,169092,5.0
1654395886.5309675,169290,7.0
1654395888.6210926,169389,6.0
1654395890.7844598,169488,5.0
1654395905.7006376,170181,6.0
1654395914.216275,170577,6.0
1654395916.3295572,170676,5.0
1654395931.2548125,171369,8.0
1654395950.4861977,172260,6.0
1654395959.2714436,172656,6.0
1654395963.704621,172854,7.0
1654395983.286399,173745,6.0
1654396006.9189448,174834,7.0
1654396028.3482842,175824,7.0
1654396032.656412,176022,7.0
1654396047.4593768,176715,6.0
1654396049.5624492,176814,6.0
1654396057.9344575,177210,6.0
1654396064.3613636,177507,7.0
1654396079.6585746,178299,6.0
1654396120.4792435,180180,6.0
1654396129.0415475,180576,7.0
1654396144.0986574,181269,7.0
1654396156.9104567,181863,6.0
1654396161.137414,182061,7.0
1654396180.319188,182952,6.0
1654396188.8631468,183348,7.0
1654396208.1350133,184239,7.0
1654396218.9301057,184734,6.0
1654396221.0652769,184833,7.0
1654396223.2088244,184932,6.0
1654396257.4434903,186516,7.0
1654396268.1565943,187011,6.0
1654396283.116552,187704,7.0
1654396289.9657133,188100,7.0
1654396296.3937914,188397,7.0
1654396309.2463775,188991,6.0
1654396311.3998494,189090,6.0
1654396319.9770136,189486,8.0
1654396330.8215501,189981,7.0
1654396343.702702,190575,7.0
1654396345.8420906,190674,7.0
1654396369.587974,191763,5.0
1654396378.1356144,192159,7.0
1654396380.2374544,192258,8.0
1654396388.74906,192654,7.0
1654396393.137708,192852,7.0
1654396405.9352372,193446,6.0
