Wall_time,Episodes,Gold
1653668637.053836,4,-110.0
1653668658.4163191,18,50.0
1653668692.459276,40,-110.0
1653668703.9704444,47,-134.0
1653668705.1678648,48,-140.0
1653668727.4486415,62,-42.0
1653668729.2632306,63,-128.0
1653668741.614793,71,26.0
1653668752.414059,77,-82.0
1653668760.6480522,82,10.0
1653668771.5613768,89,-82.0
1653668787.444533,99,36.0
1653668793.42209,103,16.0
1653668800.293729,107,-26.0
1653668821.7547927,121,-82.0
1653668834.0800762,128,-46.0
1653668837.3010273,130,36.0
1653668879.447606,157,-46.0
1653668884.1072948,160,48.0
1653668887.1592748,162,-36.0
1653668890.2445202,164,-76.0
1653668902.2599168,172,-94.0
1653668930.9980738,191,-10.0
1653668948.0576768,203,-44.0
1653668950.8882437,205,-18.0
1653668986.3093934,229,-112.0
1653669009.5858784,244,-66.0
1653669011.4278748,245,-50.0
1653669034.2607908,259,14.0
1653669053.0003102,271,-16.0
1653669058.0850415,274,-122.0
1653669070.1132379,282,-50.0
1653669075.1789696,285,20.0
1653669091.1385412,295,-76.0
1653669124.32953,316,-110.0
1653669129.4517174,319,10.0
1653669134.1545093,322,-14.0
1653669172.1409955,346,-52.0
1653669191.51711,358,-2.0
1653669200.5803711,364,-92.0
1653669203.6346762,366,-86.0
1653669222.6202307,378,-162.0
1653669234.5649428,386,-110.0
1653669240.5027916,390,-22.0
1653669259.1946526,402,-80.0
1653669262.0994015,404,-28.0
1653669278.6723573,415,-18.0
1653669289.6051202,422,-136.0
1653669309.7787979,436,-94.0
1653669311.563907,437,-128.0
1653669314.4811802,439,-14.0
1653669324.9393141,446,42.0
1653669347.5898867,461,-120.0
1653669353.9936585,465,-34.0
1653669369.6048315,475,-24.0
1653669377.2818415,480,-8.0
1653669378.3510807,481,-38.0
1653669387.200387,487,-8.0
1653669422.0178452,510,-84.0
1653669424.8604336,512,-96.0
1653669427.1764085,513,-96.0
1653669428.7357972,514,-2.0
1653669433.673381,517,-70.0
1653669457.9508553,533,72.0
1653669461.9722924,536,66.0
1653669464.8961616,538,-24.0
1653669467.8809135,540,-16.0
1653669486.3171031,552,-76.0
1653669492.3590806,556,-94.0
1653669501.2120697,562,-86.0
1653669510.7017627,568,-50.0
1653669543.798081,590,12.0
1653669549.709884,594,-82.0
1653669552.641347,596,-96.0
1653669593.5388308,623,-112.0
1653669600.4776225,628,-28.0
1653669602.2749734,629,8.0
1653669614.063021,637,-38.0
1653669623.6287897,643,-30.0
1653669624.7732472,644,-70.0
1653669646.208232,658,-30.0
1653669659.9980128,667,22.0
1653669671.8379745,675,-12.0
1653669702.0297263,694,38.0
1653669743.886254,721,-90.0
1653669750.6403346,725,-66.0
1653669759.6356351,731,-58.0
1653669779.764805,744,-38.0
1653669810.9196353,764,-4.0
1653669827.872751,775,-44.0
1653669829.0266676,776,-44.0
1653669838.8798432,782,-30.0
1653669847.9292583,788,-78.0
1653669873.0369937,804,42.0
1653669874.1592329,805,18.0
1653669877.2458458,807,-42.0
1653669896.3296397,819,-120.0
1653669916.5580192,832,-160.0
1653669957.4248304,857,-44.0
1653669971.8173838,866,-134.0
1653669979.1300337,871,-144.0
1653670004.855837,886,-62.0
1653670023.1737761,897,2.0
1653670030.9184387,901,-102.0
1653670078.1800604,930,-24.0
1653670098.1510077,942,-68.0
1653670109.9693463,949,2.0
1653670188.171152,999,-8.0
1653670193.1329973,1002,-34.0
1653670196.2844362,1004,-46.0
1653670213.7103395,1015,-78.0
1653670224.9914668,1022,-48.0
1653670231.0453079,1026,-36.0
1653670234.1232302,1028,-118.0
1653670248.4709268,1037,-18.0
1653670278.973439,1056,-86.0
1653670300.8234472,1070,-22.0
1653670302.7495475,1071,-104.0
1653670305.9520721,1073,-38.0
1653670312.692447,1077,12.0
1653670327.1664333,1086,-2.0
1653670347.609353,1098,36.0
1653670353.998396,1102,42.0
1653670357.3928623,1104,-10.0
1653670365.5389426,1109,-96.0
1653670368.6235473,1111,-62.0
1653670384.316199,1121,-128.0
1653670391.0045562,1125,-56.0
1653670402.3087797,1132,16.0
1653670405.3718152,1134,-108.0
1653670424.8530614,1146,-12.0
1653670433.0454419,1151,-56.0
1653670434.1950853,1152,110.0
1653670453.6871555,1164,-24.0
1653670469.5289996,1174,-44.0
1653670472.656096,1176,0.0
1653670486.2673724,1184,14.0
1653670499.967068,1193,-4.0
1653670501.93094,1194,-64.0
1653670541.022556,1218,-98.0
1653670553.569608,1225,-64.0
1653670588.469179,1246,12.0
