Wall time,Step,Value
1653770744.96214,4,-94.0
1653770757.039066,18,-20.0
1653770775.0773265,40,-28.0
1653770781.3708494,47,-76.0
1653770781.830014,48,60.0
1653770794.1515372,62,-110.0
1653770794.558986,63,-66.0
1653770801.0801601,71,-142.0
1653770806.880205,77,-30.0
1653770811.0804536,82,-40.0
1653770816.0682404,89,-56.0
1653770824.402932,99,-88.0
1653770828.3380451,103,-130.0
1653770831.3493586,107,108.0
1653770844.2857413,121,-50.0
1653770849.7262378,128,-104.0
1653770851.540567,130,-90.0
1653770873.7760603,157,-124.0
1653770876.0352192,160,-48.0
1653770877.8826482,162,12.0
1653770878.6850486,164,-100.0
1653770885.1322327,172,-132.0
1653770901.185326,191,-134.0
1653770910.2791035,203,-44.0
1653770912.1453047,205,68.0
1653770931.4190264,229,-70.0
1653770943.7406266,244,-34.0
1653770945.160499,245,-80.0
1653770956.0883703,259,14.0
1653770966.2057014,271,-22.0
1653770968.4466293,274,0.0
1653770974.8393471,282,-28.0
1653770977.033835,285,-136.0
1653770985.239533,295,-68.0
1653771002.318062,316,-50.0
1653771004.5836504,319,-116.0
1653771006.8976073,322,-70.0
1653771027.079045,346,2.0
1653771036.2909286,358,10.0
1653771041.8187928,364,-106.0
1653771042.6669753,366,-14.0
1653771052.7380013,378,-82.0
1653771059.0647483,386,-188.0
1653771062.753626,390,-118.0
1653771071.8272767,402,-124.0
1653771073.6277916,404,-108.0
1653771082.2056484,415,-6.0
1653771088.1966822,422,44.0
1653771099.120344,436,-64.0
1653771100.550038,437,-128.0
1653771102.440063,439,-78.0
1653771107.4501896,446,-90.0
1653771119.877457,461,88.0
1653771123.626215,465,-62.0
1653771131.8971012,475,-112.0
1653771136.1517606,480,32.0
1653771136.5568163,481,0.0
1653771141.0599577,487,-166.0
1653771159.9209461,510,0.0
1653771161.7199285,512,-58.0
1653771162.1628163,513,-78.0
1653771163.551461,514,-10.0
1653771165.8742309,517,-170.0
1653771178.7207065,533,-18.0
1653771181.050869,536,-18.0
1653771182.8946025,538,-12.0
1653771184.707237,540,-62.0
1653771193.8260999,552,26.0
1653771197.5286057,556,-124.0
1653771202.1975553,562,-44.0
1653771225.191937,590,-108.0
1653771228.916879,594,-50.0
1653771229.752701,596,68.0
1653771252.3952017,623,2.0
1653771256.5046442,628,-100.0
1653771256.9350188,629,-66.0
1653771263.5032039,637,-94.0
1653771269.165883,643,-82.0
1653771269.5796905,644,-132.0
1653771280.7480893,658,-68.0
1653771288.7456567,667,78.0
1653771295.2218986,675,-130.0
1653771310.5605898,694,-34.0
1653771333.4780343,721,-38.0
1653771336.1835248,725,-128.0
1653771352.5123441,744,-32.0
1653771368.1707203,764,-48.0
1653771377.9364383,775,10.0
1653771378.3842862,776,44.0
1653771382.9601214,782,28.0
1653771388.5867324,788,-126.0
1653771401.5527887,804,-104.0
1653771401.9734766,805,-86.0
1653771403.8004797,807,-158.0
1653771413.8887808,819,-84.0
1653771424.5077033,832,72.0
1653771444.28802,857,-80.0
1653771452.3439445,866,-78.0
1653771456.5575924,871,-126.0
1653771469.1496427,886,8.0
1653771478.061051,897,-82.0
1653771480.8054411,901,38.0
1653771505.5384893,930,-66.0
1653771514.6772816,942,-86.0
1653771520.825433,949,-20.0
1653771562.2436078,999,-46.0
1653771564.6184983,1002,-110.0
1653771566.463361,1004,0.0
1653771575.336235,1015,8.0
1653771581.3986418,1022,-42.0
1653771584.972942,1026,-86.0
1653771585.8352501,1028,26.0
1653771593.7946863,1037,42.0
1653771609.2958033,1056,-60.0
1653771621.5298576,1070,-16.0
1653771621.9671907,1071,-6.0
1653771623.8938344,1073,-96.0
1653771626.73129,1077,106.0
1653771634.822905,1086,-60.0
1653771645.0579486,1098,-12.0
